Performance Results - Matrix Decomposition
Format: Algorithm: Thread count, Matrix size, Time (seconds)
-----------------------------------------------------------
LU: Thread 1, Matrix size 64, Time .000373
Cholesky: Thread 1, Matrix size 64, Time .000246
LU: Thread 1, Matrix size 128, Time .002555
Cholesky: Thread 1, Matrix size 128, Time .000774
LU: Thread 1, Matrix size 256, Time .020510
Cholesky: Thread 1, Matrix size 256, Time .003349
LU: Thread 1, Matrix size 512, Time .153965
Cholesky: Thread 1, Matrix size 512, Time .021564
LU: Thread 1, Matrix size 1024, Time 3.487066
Cholesky: Thread 1, Matrix size 1024, Time .160500
LU: Thread 1, Matrix size 2048, Time 34.720393
Cholesky: Thread 1, Matrix size 2048, Time 1.382762
LU: Thread 1, Matrix size 4096, Time 331.428168
Cholesky: Thread 1, Matrix size 4096, Time 11.927496
LU: Thread 2, Matrix size 64, Time .000623
Cholesky: Thread 2, Matrix size 64, Time .000367
LU: Thread 2, Matrix size 128, Time .001981
Cholesky: Thread 2, Matrix size 128, Time .000971
LU: Thread 2, Matrix size 256, Time .013585
Cholesky: Thread 2, Matrix size 256, Time .003091
LU: Thread 2, Matrix size 512, Time .086570
Cholesky: Thread 2, Matrix size 512, Time .013671
LU: Thread 2, Matrix size 1024, Time 1.792906
Cholesky: Thread 2, Matrix size 1024, Time .080803
LU: Thread 2, Matrix size 2048, Time 17.274789
Cholesky: Thread 2, Matrix size 2048, Time .614370
LU: Thread 2, Matrix size 4096, Time 170.100655
Cholesky: Thread 2, Matrix size 4096, Time 8.399471
LU: Thread 3, Matrix size 64, Time .000587
Cholesky: Thread 3, Matrix size 64, Time .000363
LU: Thread 3, Matrix size 128, Time .001782
Cholesky: Thread 3, Matrix size 128, Time .001032
LU: Thread 3, Matrix size 256, Time .010107
Cholesky: Thread 3, Matrix size 256, Time .002806
LU: Thread 3, Matrix size 512, Time .061080
Cholesky: Thread 3, Matrix size 512, Time .009877
LU: Thread 3, Matrix size 1024, Time 1.194827
Cholesky: Thread 3, Matrix size 1024, Time .056694
LU: Thread 3, Matrix size 2048, Time 11.651782
Cholesky: Thread 3, Matrix size 2048, Time .455807
LU: Thread 3, Matrix size 4096, Time 114.430747
Cholesky: Thread 3, Matrix size 4096, Time 6.338210
LU: Thread 4, Matrix size 64, Time .000687
Cholesky: Thread 4, Matrix size 64, Time .000382
LU: Thread 4, Matrix size 128, Time .001652
Cholesky: Thread 4, Matrix size 128, Time .001058
LU: Thread 4, Matrix size 256, Time .006678
Cholesky: Thread 4, Matrix size 256, Time .002569
LU: Thread 4, Matrix size 512, Time .048388
Cholesky: Thread 4, Matrix size 512, Time .008668
LU: Thread 4, Matrix size 1024, Time .892315
